year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	21	11	51	08	frozenhammerz	K9us	Birch Planks	30.0	1920.0	64	world	[15, 72, -17]
2018	09	21	11	51	08	frozenhammerz	K9us	Birch Planks	30.0	1920.0	64	world	[15, 72, -17]
2018	09	21	11	51	09	frozenhammerz	K9us	Birch Planks	30.0	1920.0	64	world	[15, 72, -17]
2018	09	21	21	39	28	frozenhammerz	K9us	Birch Planks	30.0	1920.0	64	world	[15, 72, -17]
2018	09	22	13	27	55	frozenhammerz	K9us	Birch Planks	30.0	30.0	1	world	[15, 72, -17]
2018	10	06	14	06	49	frozenhammerz	K9us	Birch Planks	19.0	19.0	1	world	[15, 72, -17]
2018	10	06	14	06	50	frozenhammerz	K9us	Birch Planks	19.0	19.0	1	world	[15, 72, -17]
2018	10	06	14	06	51	frozenhammerz	K9us	Birch Planks	19.0	19.0	1	world	[15, 72, -17]
2018	10	06	14	06	52	frozenhammerz	K9us	Birch Planks	19.0	19.0	1	world	[15, 72, -17]
2018	10	06	14	06	52	frozenhammerz	K9us	Birch Planks	19.0	988.0	52	world	[15, 72, -17]
2018	10	30	14	31	23	ersi	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	26	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	27	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	27	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	28	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	29	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	29	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	30	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	30	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
2018	11	15	13	40	31	TechnoWiking	K9us	Birch Planks	25.0	25.0	1	world	[15, 72, -17]
